epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9371,1.78125,1.82871,1.31587,0.78109,0.74497,0.80273,0.36051,1.78131,1.62182,1.43416,0.000663383,0.000663383,0.000663383
2,169.376,1.80029,1.39575,1.4019,0.64969,0.5,0.55797,0.23236,2.01083,1.82235,1.60065,0.00130371,0.00130371,0.00130371
3,242.314,1.79624,1.31817,1.39838,0.65873,0.58725,0.61821,0.23655,2.07636,1.71889,1.58267,0.00191765,0.00191765,0.00191765
4,312.461,1.73903,1.25688,1.37113,0.70951,0.5906,0.66337,0.32952,1.84726,1.56876,1.56148,0.0018812,0.0018812,0.0018812
5,381.778,1.70725,1.20216,1.33375,0.71537,0.56376,0.68176,0.31902,1.86017,1.46962,1.49565,0.0018416,0.0018416,0.0018416
6,451.797,1.67917,1.17107,1.3125,0.66426,0.65066,0.70873,0.32643,1.83242,1.42072,1.49319,0.001802,0.001802,0.001802
7,521.569,1.66175,1.12845,1.3096,0.83828,0.90452,0.91725,0.47193,1.66597,1.084,1.38487,0.0017624,0.0017624,0.0017624
8,591.626,1.66201,1.12568,1.28944,0.7354,0.60067,0.71903,0.34835,1.75851,1.23684,1.43518,0.0017228,0.0017228,0.0017228
9,664.75,1.64561,1.09474,1.2924,0.78644,0.86242,0.8843,0.43835,1.67103,1.08423,1.37396,0.0016832,0.0016832,0.0016832
10,738.433,1.61126,1.04983,1.27386,0.85496,0.89016,0.91742,0.48864,1.61548,0.95088,1.32065,0.0016436,0.0016436,0.0016436
11,811.527,1.60544,1.03597,1.26801,0.81424,0.85315,0.88335,0.4463,1.61278,1.1961,1.31407,0.001604,0.001604,0.001604
12,884.543,1.59052,1.01246,1.25815,0.79213,0.8056,0.8577,0.42496,1.68141,1.03297,1.35667,0.0015644,0.0015644,0.0015644
13,956.511,1.58427,0.98727,1.25538,0.8852,0.85235,0.92602,0.46769,1.61331,0.94866,1.32862,0.0015248,0.0015248,0.0015248
14,1028.69,1.57792,0.98744,1.25682,0.86292,0.84499,0.90438,0.46358,1.64207,0.96803,1.3387,0.0014852,0.0014852,0.0014852
15,1100.31,1.55707,0.95758,1.23586,0.78685,0.89191,0.89435,0.48196,1.57035,0.9664,1.28918,0.0014456,0.0014456,0.0014456
16,1172,1.54923,0.95689,1.23398,0.855,0.9102,0.9045,0.47464,1.60059,0.9335,1.31143,0.001406,0.001406,0.001406
17,1243.36,1.52865,0.94758,1.22542,0.83808,0.90315,0.92373,0.50092,1.58916,0.94198,1.29504,0.0013664,0.0013664,0.0013664
18,1315.17,1.53258,0.95902,1.22854,0.83405,0.87248,0.90592,0.45588,1.67659,0.98285,1.34822,0.0013268,0.0013268,0.0013268
19,1386.64,1.53345,0.93438,1.232,0.87559,0.89262,0.91693,0.49951,1.57652,0.94468,1.30211,0.0012872,0.0012872,0.0012872
20,1457.93,1.51605,0.9153,1.21383,0.88994,0.89544,0.94,0.50546,1.55207,0.87267,1.29219,0.0012476,0.0012476,0.0012476
21,1529.69,1.51594,0.91048,1.21648,0.89523,0.91275,0.94139,0.50158,1.5941,0.89088,1.31668,0.001208,0.001208,0.001208
22,1600.98,1.49629,0.87098,1.20517,0.88013,0.93626,0.94067,0.51086,1.52876,0.81719,1.26382,0.0011684,0.0011684,0.0011684
23,1670.82,1.50597,0.89813,1.20833,0.87621,0.92631,0.95365,0.52181,1.56197,0.81951,1.2927,0.0011288,0.0011288,0.0011288
24,1740.77,1.49387,0.8717,1.20227,0.9074,0.88591,0.94028,0.51733,1.56526,0.80272,1.28956,0.0010892,0.0010892,0.0010892
25,1810.12,1.47594,0.8802,1.18909,0.83243,0.93351,0.91727,0.51151,1.52012,0.83921,1.2828,0.0010496,0.0010496,0.0010496
26,1880.81,1.46256,0.86939,1.18702,0.8493,0.92617,0.93132,0.51051,1.55833,0.86985,1.27812,0.00101,0.00101,0.00101
27,1952.9,1.45894,0.85661,1.19202,0.87108,0.9396,0.94735,0.52678,1.5216,0.82524,1.27001,0.0009704,0.0009704,0.0009704
28,2024.02,1.46344,0.85015,1.19021,0.87521,0.89437,0.93614,0.52866,1.49114,0.80442,1.26062,0.0009308,0.0009308,0.0009308
29,2095.2,1.45954,0.85723,1.1775,0.88955,0.89933,0.93427,0.51997,1.50203,0.79634,1.23545,0.0008912,0.0008912,0.0008912
30,2165.99,1.44754,0.83482,1.17806,0.89772,0.91303,0.94982,0.53795,1.48419,0.7944,1.24907,0.0008516,0.0008516,0.0008516
31,2237.47,1.43608,0.83296,1.17456,0.8828,0.86913,0.9302,0.52299,1.49835,0.78575,1.26315,0.000812,0.000812,0.000812
32,2308.84,1.43291,0.81762,1.16595,0.86727,0.90268,0.93469,0.523,1.46735,0.80463,1.21791,0.0007724,0.0007724,0.0007724
33,2379.76,1.42933,0.80512,1.1606,0.87265,0.93289,0.95058,0.54578,1.47448,0.77862,1.23443,0.0007328,0.0007328,0.0007328
